,ESP_A01,ESP_A02,ESP_A03,ESP_B,ESP_C10-12,ESP_C13-15,ESP_C16,ESP_C17,ESP_C18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31-32,ESP_C33,ESP_D35,ESP_E36,ESP_E37-39,ESP_F,ESP_G45,ESP_G46,ESP_G47,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58,ESP_J59-60,ESP_J61,ESP_J62-63,ESP_K64,ESP_K65,ESP_K66,ESP_L68,ESP_M69_70,ESP_M71,ESP_M72,ESP_M73,ESP_M74-75,ESP_N,ESP_O84,ESP_P85,ESP_Q,ESP_R-S,,
ESP_A01,"0,456847342","0,000184795","0,000209848","0,000386869","1,361012531","0,009567704","0,001370782","0,001914615","0,000461904","0,000520855","0,044761029","0,017190575","0,010114647","0,001913823","0,002498956","0,002484656","0,002308748","0,002521987","0,007478042","0,008976945","0,001028992","0,001908709","0,001984064","0,004232552","0,000423767","0,001420675","0,041300507","0,002339895","0,012242008","0,009331529","0,003687442","5,95E-05","0,002199389","0,005000214","0,000230736","0,114602444","0,000452243","0,001055734","0,00106364","0,001205823","0,003413873","0,001593695","0,000267506","0,02243721","0,002992926","0,000770551","0,001449633","0,000323633","0,000753312","0,016876494","0,006630176","0,005279449","0,037348284","0,00497387",0,0
ESP_A02,"0,000794895","0,000411315","3,23E-07","1,02E-05","0,002286819","9,34E-06","0,001376684","0,000191417","1,91E-06","0,000113184","6,82E-05","6,59E-06","2,59E-05","2,36E-05","4,08E-05","3,38E-05","6,01E-06","8,75E-06","1,95E-05","1,11E-05","1,85E-06","0,000112712","9,17E-06","0,000122565","7,62E-07","1,74E-06","0,000726442","1,03E-06","4,04E-05","3,78E-05","3,73E-06","2,25E-08","1,01E-06","7,01E-06","2,70E-07","0,000124112","1,51E-07","7,63E-07","4,53E-07","5,51E-07","1,91E-06","1,58E-06","1,25E-07","2,24E-05","1,99E-06","2,56E-06","3,01E-05","1,90E-07","7,63E-07","2,62E-05","2,74E-05","6,07E-06","1,77E-05","6,48E-06",0,0
ESP_A03,"0,007346185","7,47E-06","0,004186231","3,37E-07","0,045588573","0,001289582","4,29E-06","0,000285679","3,81E-06","7,46E-07","0,002752919","0,000825427","5,84E-05","1,74E-05","2,71E-05","7,59E-06","2,18E-06","5,84E-06","1,69E-05","9,72E-06","8,83E-07","0,000634066","1,57E-06","2,98E-05","1,22E-07","1,58E-06","1,41E-05","5,57E-05","0,000336212","0,001381311","0,000475255","2,66E-05","0,00012791","0,000103651","9,65E-07","0,055681646","8,13E-06","0,000163005","5,19E-06","8,36E-06","0,000171008","0,000102486","1,55E-06","8,80E-06","1,88E-05","3,76E-06","0,0001076","1,92E-05","4,98E-06","0,000272347","0,000388348","0,000894921","0,004837162","0,00052203",0,0
ESP_B,"0,008247278","0,00028336","2,28E-05","0,013545696","0,014399929","0,008313289","0,006286929","0,014670029","0,001575883","0,23012283","0,196774812","0,014779364","0,030998004","0,026179526","0,065825724","0,006292805","0,01066048","0,007991455","0,006477103","0,007990204","0,000662682","0,003307581","0,001192348","0,160955872","0,000644146","0,000901489","0,036547281","0,001144447","0,004045977","0,001380989","0,002339493","1,62E-05","0,000815013","0,002034675","0,000129658","0,002054258","0,000128489","6,75E-05","0,000529484","0,000214509","0,000664539","0,000378979","4,73E-05","0,004596613","0,000679467","0,00776553","0,001741466","8,14E-05","0,000674074","0,002542705","0,004179021","0,001118547","0,014791468","0,002097904",0,0
ESP_C10-12,"2,070049051","0,003579646","0,029544684","0,008554243","10,12576578","0,45007632","0,041169697","0,148889827","0,015369378","0,027816824","1,678558051","1,328944444","0,179656558","0,055963014","0,065157984","0,05657541","0,078140452","0,06963552","0,151379994","0,184623238","0,019588066","0,042601656","0,029427762","0,031856981","0,001901411","0,016485944","0,149751326","0,052444078","0,186769817","0,411812383","0,152178148","0,007532044","0,066304008","0,047433454","0,001634806","7,889404118","0,007851885","0,051417343","0,017806559","0,027977916","0,08704799","0,049016842","0,004163639","0,161173328","0,04693963","0,016473534","0,042708519","0,009067479","0,049283501","0,20731555","0,153650431","0,266211347","2,885621848","0,17266966",0,0
ESP_C13-15,"0,271842729","0,014310503","0,00625577","0,0212696","0,280527833","11,89575197","0,064096129","0,463583502","0,057290416","0,023915442","0,598022602","0,149245794","1,027059532","0,51668615","0,140617857","0,379940538","0,213301829","0,208291097","0,639672118","1,223874096","0,184136025","0,930761826","0,033628899","0,01515968","0,004689846","0,02796009","0,733526703","0,494652194","0,360833711","0,613336669","0,120268595","0,001365982","0,025568166","0,088768242","0,001512736","0,334885732","0,037865228","0,011551808","0,008433452","0,014880803","0,22417464","0,110923347","0,03276545","0,127004624","0,150383539","0,075934202","0,09078105","0,01462135","0,061491414","0,328186924","0,31829447","0,096194605","1,1951455","0,352668298",0,0
ESP_C16,"0,038752029","0,001624217","0,000595002","0,009294378","0,055718364","0,017490131","1,942680953","0,084009807","0,020528942","0,001676954","0,072915594","0,014450548","0,04464506","0,036763068","0,032984297","0,115002634","0,025169628","0,043176481","0,086034202","0,045422114","0,01009743","0,303320541","0,023235416","0,043389473","0,000559045","0,002800893","1,41828638","0,010833741","0,064846313","0,066621183","0,003546239","3,26E-05","0,002406966","0,003426168","0,000256367","0,006775364","0,001411197","0,000608629","0,001301832","0,002273502","0,005511833","0,002451754","0,000762518","0,01863507","0,00734404","0,009000486","0,002162603","0,001307636","0,006018865","0,022205431","0,043676705","0,006372886","0,074545508","0,012723171",0,0
ESP_C17,"0,08051188","0,01615572","0,000928465","0,035095889","2,259000604","0,160460639","1,040660059","6,730426868","2,707183885","0,017425347","1,949599462","0,408164782","0,593874001","0,375695923","0,151072035","0,410112317","0,137086198","0,22947919","0,490063607","0,18008331","0,055397791","0,20148021","0,041407166","0,036818511","0,00486462","0,025022547","0,443596158","0,159107522","0,621246512","0,769722635","0,07948855","0,001940043","0,015238154","0,088993082","0,023577625","0,377999222","0,016473654","0,012389624","0,055807201","0,237554999","0,227154964","0,076834322","0,060287412","0,09386981","0,335485281","0,1412965","0,124319125","0,147534034","0,085510502","0,391722626","0,610100344","0,147175834","0,440356812","0,302151111",0,0
ESP_C18,"0,003180841","0,000539667","4,40E-05","0,001637171","0,073359411","0,00750461","0,031607768","0,194146858","0,08504591","0,000405929","0,051802187","0,017595303","0,024170865","0,015136833","0,101114041","0,073759063","0,103143941","0,074274342","0,098751706","0,051753524","0,010516431","0,070091377","0,049800546","0,004077594","0,001216725","0,001912631","0,062281119","0,012205221","0,039242695","0,02961374","0,005111364","7,62E-05","0,003144142","0,004521871","0,000892608","0,013446295","0,009168931","0,005650474","0,048352533","0,028810757","0,012223643","0,004819247","0,002388876","0,016806099","0,01561177","0,01145987","0,005451805","0,018268498","0,004622818","0,025767803","0,024768871","0,007859818","0,049228574","0,016085105",0,0
ESP_C19,"0,414156612","0,018246191","0,000623814","0,078671509","0,597304772","0,302367483","0,296152218","0,498893125","0,071130998","0,298731337","8,205956337","0,380301166","1,321968061","0,374695787","0,50178414","0,272224156","0,434857575","0,323164627","0,184740267","0,187064455","0,014915986","0,127379382","0,028192033","0,062634585","0,009858809","0,052815195","0,525326652","0,049025497","0,304033858","0,128293225","0,512095924","0,004202746","0,239523536","0,047901825","0,011426378","0,141954116","0,014970887","0,003675961","0,008205124","0,02177952","0,04083639","0,01437674","0,00457993","0,057810347","0,084058598","0,040004073","0,066249467","0,006241084","0,020030461","0,117876773","0,106342568","0,090017881","0,346113408","0,121829177",0,0
ESP_C20,"3,96399134","0,103793766","0,002307022","0,636526908","6,415196185","3,73699513","3,115919263","5,94666726","0,851658919","3,036859044","103,812144","4,936112418","16,68842543","3,731500719","4,069627495","3,274992376","5,456136673","3,783225222","1,810388546","2,15428243","0,144462099","1,663747176","0,237110944","0,116040249","0,091982591","0,099297868","4,471082643","0,231810283","0,794826594","0,313761426","0,138226682","0,000993759","0,064017887","0,094153748","0,005811982","0,633220771","0,025861446","0,008207878","0,034860632","0,027532","0,141430149","0,062627995","0,018504418","0,464141136","0,152990016","0,247075765","0,778376704","0,020683666","0,209909156","0,857427086","0,338749254","0,228887497","3,128000539","0,744409984",0,0
ESP_C21,"0,287283331","0,002983278","0,000220701","0,017010635","3,056147009","0,127868688","0,09720927","0,264842205","0,067717463","0,075883037","2,784816304","28,70186455","0,52531338","0,100840998","0,096692888","0,088889396","0,154626237","0,115160612","0,103628408","0,129205281","0,011951011","0,095979655","0,017640722","0,006745773","0,002546917","0,009469938","0,129588362","0,02057229","0,801261217","0,045394493","0,008677167","0,000115089","0,006561686","0,006820156","0,000746435","0,05688186","0,002277996","0,001990652","0,007612778","0,008496941","0,01387192","0,006113552","0,002012926","0,040293256","0,017061465","0,012825107","0,688198695","0,00369965","1,203053062","0,049358504","0,22310635","0,031582583","40,2875008","0,030599007",0,0
ESP_C22,"0,301088035","0,006288032","0,003763579","0,082164329","3,020453252","0,401787702","0,435331421","0,393075248","0,484516327","0,042454485","1,416062444","0,417371379","2,863704084","1,190626048","0,300676881","0,913668131","0,475493329","1,675967704","2,75750202","3,368687493","0,485738234","1,069226288","0,2499026","0,080346782","0,089460818","0,077033639","8,17841206","1,257493015","1,202793301","0,756148467","0,363814193","0,001196238","0,019087677","0,175572828","0,005912652","0,141528741","0,053816013","0,008412663","0,052487866","0,092870866","0,203855951","0,114554213","0,049054376","0,209634719","0,137370381","0,24737229","0,063905701","0,057914139","0,086135254","0,440764231","0,179457762","0,128170648","1,579999686","0,333043056",0,0
ESP_C23,"0,115742611","0,001296953","0,005021028","0,043972094","0,467177926","0,080253418","0,387303147","0,054679684","0,008916398","0,023263465","0,8844569","0,223436937","0,657628783","4,037326405","0,303798351","0,627521126","0,216843715","0,726329436","0,469528892","0,455792897","0,102210004","0,159518503","0,152623488","0,051526403","0,06723421","0,01063216","15,00685676","0,134826455","0,102804167","0,072505383","0,11310903","4,36E-05","0,004219393","0,062547028","0,000248754","0,012292476","0,001181419","0,000936549","0,006387067","0,003033517","0,006956242","0,003637149","0,00084743","0,369752382","0,017972002","0,045995528","0,021891898","0,000940768","0,015805316","0,125414532","0,347862091","0,009691545","0,127144052","0,016450101",0,0
ESP_C24,"0,037715011","0,003025096","0,000158041","0,117085417","0,217049919","0,030707372","0,399882957","0,308346404","0,058587986","0,018417107","1,334162272","0,126388912","1,409988414","0,80712355","57,06029443","30,86953327","1,02538816","8,146131295","14,8260808","4,791120012","0,86239376","16,15128596","1,925509633","0,22560536","0,122902767","0,040663434","7,704714059","0,141369241","0,149351995","0,017595849","0,262872194","9,23E-05","0,006459511","0,007250054","0,00036852","0,026513617","0,002117646","0,00112492","0,006481333","0,003741224","0,010395993","0,005358863","0,001409417","0,049178076","0,00940351","0,082594472","0,009033266","0,001157713","0,002319353","0,031446178","0,098467322","0,013775175","0,049771489","0,020257797",0,0
ESP_C25,"0,219595251","0,039415526","0,001569016","0,061962912","1,167110046","0,091089992","0,349187723","0,04272884","0,028713469","0,012184419","0,275681522","0,106693472","0,441039017","0,287620595","2,686371744","8,498546465","0,433638706","2,325463006","8,847231579","3,838431076","0,827320712","1,058744005","1,029641074","0,114471818","0,016397227","0,02887694","6,112075773","1,120013635","0,737665772","0,17807882","0,166328173","0,000969991","0,034217961","0,070462005","0,002008211","0,322508097","0,021871706","0,00595065","0,043113224","0,01765713","0,081453162","0,041240911","0,01425703","0,175163711","0,061054423","0,172073035","0,053508757","0,008628868","0,011464416","0,154620725","0,303168225","0,155555499","0,294987485","0,132660024",0,0
ESP_C26,"0,01507031","0,00217165","0,000298914","0,003240401","0,021963043","0,010716383","0,007099709","0,009491527","0,014443126","0,003717887","0,094416039","0,028805492","0,061130102","0,011172758","0,032577289","0,113643168","1,986541893","1,588363419","1,207569582","0,785871381","0,232560598","0,279780837","1,134173461","0,091723762","0,014400746","0,005597106","0,896181774","0,127014446","0,248788376","0,049066132","0,02109826","0,000103262","0,014601282","0,006888899","0,000404888","0,008397746","0,00160315","0,098295217","0,9509335","0,4282872","0,00936759","0,00655655","0,001057743","0,029997422","0,019305232","0,122452539","0,023996736","0,003148862","0,008331702","0,039033361","0,037664117","0,008377755","0,185734588","0,081585347",0,0
ESP_C27,"0,055459655","0,005021021","0,003317689","0,011418103","0,075667249","0,016517353","0,023610159","0,015453155","0,011977134","0,003497348","0,056962686","0,040210279","0,133055467","0,037476042","0,368740935","0,59335288","1,354370992","9,858556553","6,557344725","2,533115862","0,564594708","0,481365393","3,280673858","0,822076029","0,005362743","0,014940303","8,769182737","0,917839773","0,411631508","0,129611275","0,056846174","0,000185368","0,015370992","0,024201393","0,001224071","0,036721015","0,002580055","0,019526289","0,372663155","0,136110759","0,01888319","0,023075405","0,003734786","0,059474222","0,024692512","0,298217222","0,011655577","0,013058264","0,004638496","0,06604012","0,183401552","0,054656392","0,194092013","0,3631275",0,0
ESP_C28,"0,106965336","0,016396941","0,000892801","0,17383571","0,36748303","0,081384127","0,235759892","0,104211055","0,115463274","0,007471056","0,112314","0,145579205","0,302591345","0,274290065","0,58080876","1,103072824","0,454781311","2,258786152","25,19773074","15,34784994","0,900758596","0,323954278","2,025133126","0,25622953","0,010143394","0,044432011","4,53670554","1,628041009","0,850018857","0,06830992","0,12470171","0,000595668","0,049212722","0,028622937","0,002857129","0,038155862","0,004757408","0,010280355","0,105855793","0,056443667","0,026626667","0,014828257","0,003078956","0,09470719","0,026935626","0,698549024","0,011604623","0,003836266","0,006359514","0,219030498","0,089962045","0,027087064","0,177316679","0,084039731",0,0
ESP_C29,"0,039768769","0,002108298","0,000398669","0,023678726","0,148715652","0,030873366","0,053295532","0,026001028","0,02391148","0,004285608","0,138571763","0,069603487","0,16516754","0,108628128","0,310672002","0,519343216","0,167734661","1,240151738","8,685816409","80,05939906","1,185425981","0,274819866","0,465541263","0,060712008","0,004134556","0,036386285","1,406048508","12,48115575","0,204643968","0,123780955","1,506304575","8,96E-05","0,00910534","0,436303014","0,000693572","0,033828143","0,002772116","0,002452512","0,026028415","0,019850547","0,013433365","0,007938411","0,002187096","0,0468479","0,033221897","0,156512219","0,010351189","0,002698342","0,005049904","0,177599379","0,141452152","0,014444418","0,123924194","0,29799262",0,0
ESP_C30,"0,0314631","0,007467603","0,000296601","0,010613167","0,03753973","0,006581079","0,012239341","0,009714641","0,003396161","0,004960177","0,020563507","0,013010442","1,602163936","0,017791717","0,046944482","0,157026599","0,053170765","2,998408409","0,333688971","0,687550542","11,53890319","0,020999111","6,102356865","0,065233578","0,004607173","0,006665335","0,265164185","0,037169484","0,063300529","0,012230645","0,363799774","0,000303567","0,725822535","0,01358799","0,001013682","0,010216098","0,001227666","0,00146141","0,018463147","0,007933556","0,010424359","0,006522708","0,000697293","0,030153722","0,009370105","0,11116844","0,007980427","0,000934655","0,001217785","0,042134002","0,031347124","0,007863338","0,040575806","0,048927658",0,0
ESP_C31-32,"0,027177707","0,001877332","0,000361672","0,009818608","0,100501093","0,143308226","0,161331","0,034968256","0,02147084","0,004678803","0,179325256","0,075168805","0,110034572","0,087591466","0,17433686","0,30506793","0,353798006","0,542473289","0,626278143","0,649437525","0,257628236","1,943164651","0,242059371","0,023538544","0,006549051","0,022400474","0,534677464","0,117850214","0,125592851","0,081071661","0,026537992","7,73E-05","0,017541866","0,010650021","0,000786897","0,0414801","0,021915079","0,007683228","0,063873225","0,030230072","0,030831327","0,011741688","0,001600203","0,070151507","0,071555983","0,089559415","0,01331972","0,004817603","0,10954468","0,123421321","0,065519221","0,058288174","1,5566747","0,10968311",0,0
ESP_C33,"0,118771173","0,028904704","0,001048521","0,016198493","0,057456842","0,009132512","0,020269585","0,030362538","0,009878334","0,01387257","0,047241862","0,034475652","0,031856876","0,021298497","0,049613655","0,152077634","0,186748984","0,481182471","0,667020454","0,37744253","0,11884031","0,03530697","0,437857408","0,265630651","0,017851621","0,021154425","0,369950743","0,06726951","0,163876363","0,023794237","0,176256342","0,001105778","0,077999083","0,024559489","0,00127863","0,012198369","0,000869375","0,008948205","0,118258891","0,029542593","0,00450295","0,001906129","0,000285945","0,013001882","0,003353104","0,033385112","0,004619679","0,001121756","0,003019048","0,049696028","0,05867916","0,010250739","0,119879203","0,026177011",0,0
ESP_D35,"0,030507025","0,002749686","0,000655327","0,038893473","0,091995394","0,013346669","0,044779425","0,097484562","0,007585907","0,007222238","0,197643712","0,028076816","0,031926406","0,067914266","0,182473585","0,040137778","0,018015587","0,026109651","0,076628365","0,10915213","0,005063872","0,00958436","0,015809959","1,995433845","0,006968201","0,019120333","0,21298746","0,025615181","0,097308356","0,050898068","0,136596652","0,00034781","0,0091526","0,08043409","0,006151537","0,05637012","0,00437172","0,003491342","0,023640369","0,01245526","0,025675977","0,014319591","0,001583734","0,112575913","0,026842603","0,27779447","0,007089888","0,003387793","0,002443218","0,039416311","0,090137743","0,078741836","0,120898182","0,056160424",0,0
ESP_E36,"0,000948369","0,000215857","2,19E-05","0,001838614","0,004833077","0,00077891","0,005695571","0,027125929","0,000326496","0,000597753","0,00218727","0,001457972","0,01634257","0,003585668","0,07728513","0,002391456","0,001409645","0,001046953","0,003829485","0,001515263","0,000433266","0,001059488","0,001076124","0,03375226","0,000381724","0,180411094","0,036067235","0,002330602","0,013063516","0,004666248","0,003496542","2,57E-05","0,002633822","0,004577199","0,000348799","0,005842073","0,000704323","0,000637957","0,00141327","0,002476365","0,006375711","0,005521759","0,000864304","0,174991045","0,006970858","0,026297264","0,00085881","0,00063693","0,00043917","0,013687404","0,008147499","0,003300061","0,009569074","0,003731246",0,0
ESP_E37-39,"0,014192646","0,001681434","0,000100604","0,010237996","0,083272681","0,016447361","0,194061568","1,017674733","0,003003559","0,002894443","0,02676259","0,020126931","0,597982993","0,105142974","2,923070317","0,03422325","0,022768802","0,025488729","0,055362543","0,018449248","0,008654922","0,023268058","0,011688385","1,185348227","0,004367343","6,942726982","0,071338357","0,043005069","0,21372746","0,066113613","0,043963099","0,000114662","0,002660991","0,040701815","0,00192987","0,129668106","0,008376746","0,005788175","0,008680484","0,023205069","0,075150795","0,11636745","0,021721683","6,01411753","0,10140539","0,015496281","0,008853236","0,011785905","0,011523831","0,092043851","0,085903339","0,038419628","0,204366945","0,054318868",0,0
